SECTOR,October,November,December,January,February,March,April,May,June,July,August,September,Yearly Total,Fiscal Year
Blaine,71,103,49,54,54,50,83,85,64,66,64,68,811,2006
Buffalo,120,107,71,85,96,101,111,178,154,174,148,172,1517,2006
Detroit,120,134,130,138,92,149,83,108,78,76,97,76,1281,2006
Grand Forks,59,48,41,56,36,18,66,49,26,31,48,40,518,2006
Havre,26,58,28,40,62,32,43,63,56,47,52,61,568,2006
Houlton,17,21,15,28,10,12,11,5,22,12,16,6,175,2006
Spokane,8,23,8,10,3,12,26,6,19,6,19,45,185,2006
Swanton,107,98,89,96,75,87,83,121,155,352,201,80,1544,2006
"Big Bend
(formerly Marfa)",655,590,563,739,908,910,746,711,478,392,403,425,7520,2006
Del Rio,4840,4016,2910,4839,5854,5636,4555,2633,2106,1947,1683,1617,42636,2006
El Centro,5072,3831,2998,5797,6399,9048,6847,6187,4112,3240,3705,4229,61465,2006
El Paso,11027,8191,5668,11941,14457,18668,15238,12239,7664,6970,5027,5166,122256,2006
Laredo,5014,4323,3544,7415,9554,10179,8530,6866,4815,4667,5525,4408,74840,2006
"Rio Grande Valley
(formerly McAllen)",10060,9111,7128,9533,10444,13080,11264,11649,7516,7109,7020,6614,110528,2006
San Diego,10145,7730,6531,13959,17160,18361,14736,13888,10597,8683,10009,10305,142104,2006
Tucson,27316,24270,16447,33229,43153,63583,51588,40190,25049,21187,23256,22806,392074,2006
Yuma,9428,8913,6884,13743,17117,21231,13034,11087,6029,5446,3123,2514,118549,2006
Coastal Border,670,838,1081,938,960,816,855,1276,873,693,705,816,10521,2006
Northern Border,528,592,431,507,428,461,506,615,574,764,645,548,6599,2006
Southwest Border,83557,70975,52673,101195,125046,160696,126538,105450,68366,59641,59751,58084,1071972,2006
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
Miami,669,429,405,751,531,475,477,573,905,648,651,606,7120,2007
New Orleans,379,379,222,327,398,492,336,336,340,354,155,300,4018,2007
Ramey,41,61,117,39,71,37,51,48,32,13,28,10,548,2007
Blaine,61,36,62,61,59,87,50,67,82,67,60,57,749,2007
Buffalo,141,155,104,123,125,170,167,178,219,223,233,353,2191,2007
Detroit,106,99,83,77,56,83,85,76,51,52,66,68,902,2007
Grand Forks,56,32,45,25,40,48,49,33,35,40,54,40,497,2007
Havre,68,56,53,41,60,40,27,27,31,17,31,35,486,2007
Houlton,7,7,4,6,12,2,3,6,5,22,6,15,95,2007
Spokane,30,18,23,30,22,37,24,29,42,47,27,12,341,2007
Swanton,73,78,80,75,68,75,91,105,74,101,183,116,1119,2007
"Big Bend
(formerly Marfa)",368,442,383,556,532,677,602,407,362,439,403,365,5536,2007
Del Rio,1618,1701,1051,2044,2421,3314,2699,1858,1579,1862,1440,1333,22920,2007
El Centro,4379,3667,3037,4983,5187,7198,6983,5747,3842,3835,3789,3236,55883,2007
El Paso,6183,5098,4189,6570,7482,10537,8957,6741,5632,5109,4969,3997,75464,2007
Laredo,4286,3810,2890,4678,5855,7673,6428,4928,4595,4338,3858,3375,56714,2007
"Rio Grande Valley
(formerly McAllen)",5772,4549,3649,5798,6172,8431,7645,7736,5791,6225,6331,5331,73430,2007
San Diego,9494,7764,6591,12489,12997,18044,17999,16136,13283,12941,13312,11410,152460,2007
Tucson,25135,21323,16136,29459,34148,52692,49044,41789,34103,30373,24388,19649,378239,2007
Yuma,3478,3240,2601,5357,4474,5571,4108,3162,2151,1660,1305,885,37992,2007
Coastal Border,1089,869,744,1117,1000,1004,864,957,1277,1015,834,916,11686,2007
Northern Border,542,481,454,438,442,542,496,521,539,569,660,696,6380,2007
Southwest Border,60713,51594,40527,71934,79268,114137,104465,88504,71338,66782,59795,49581,858638,2007
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
Miami,553,496,685,456,539,699,634,433,519,277,335,394,6020,2008
New Orleans,382,429,329,650,305,365,462,318,439,296,251,77,4303,2008
Ramey,90,40,20,52,12,55,48,33,53,28,50,91,572,2008
Blaine,52,75,40,91,69,108,101,67,75,88,82,106,954,2008
Buffalo,382,290,295,228,260,304,233,222,260,259,291,315,3339,2008
Detroit,100,63,68,79,71,95,64,113,83,73,84,68,961,2008
Grand Forks,67,91,41,24,38,22,41,30,52,41,38,56,541,2008
Havre,63,121,13,33,19,3,23,28,33,21,38,32,427,2008
Houlton,15,5,2,17,2,0,5,3,1,7,14,10,81,2008
Spokane,30,40,17,18,27,15,20,10,34,38,34,57,340,2008
Swanton,106,126,64,74,85,87,72,92,148,195,159,74,1282,2008
"Big Bend
(formerly Marfa)",386,388,451,350,612,613,527,586,369,416,415,278,5391,2008
Del Rio,1679,1059,945,1961,2462,2667,2286,1745,1708,1482,1618,1149,20761,2008
El Centro,3230,2412,2000,3839,4095,4604,5090,3860,3161,2726,2995,2949,40961,2008
El Paso,3605,2648,2015,3470,3944,3129,2808,2035,1811,1634,1615,1598,30312,2008
Laredo,3825,2658,1969,3907,5001,5355,4904,3733,3432,3066,3310,2498,43658,2008
"Rio Grande Valley
(formerly McAllen)",5989,4695,3974,5216,6880,8543,9417,7967,6308,5562,6103,4819,75473,2008
San Diego,9801,9163,7773,12877,15091,18869,20569,16015,12395,13127,13734,12976,162390,2008
Tucson,21730,18231,11721,26347,34309,45239,45442,32845,24289,21093,18406,18044,317696,2008
Yuma,1094,955,954,1061,1089,751,523,447,381,366,345,397,8363,2008
Coastal Border,1025,965,1034,1158,856,1119,1144,784,1011,601,636,562,10895,2008
Northern Border,815,811,540,564,571,634,559,565,686,722,740,718,7925,2008
Southwest Border,51339,42209,31802,59028,73483,89770,91566,69233,53854,49472,48541,44708,705005,2008
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
Miami,342,302,317,401,383,382,407,314,343,413,358,463,4425,2009
New Orleans,386,267,309,259,282,429,317,257,264,253,271,233,3527,2009
Ramey,114,34,27,27,21,42,26,11,50,5,58,3,418,2009
Blaine,103,93,68,96,68,85,61,65,39,49,67,49,843,2009
Buffalo,254,210,201,176,194,220,225,263,250,198,240,241,2672,2009
Detroit,120,62,63,78,118,99,97,91,80,117,122,110,1157,2009
Grand Forks,52,53,37,29,26,29,22,41,35,50,49,49,472,2009
Havre,31,21,11,29,30,23,30,21,31,22,18,16,283,2009
Houlton,1,8,13,3,0,4,4,4,2,8,4,8,59,2009
Spokane,32,44,22,20,18,14,15,16,17,19,38,22,277,2009
Swanton,65,80,106,36,77,71,74,111,99,125,104,95,1043,2009
"Big Bend
(formerly Marfa)",539,459,472,533,689,590,458,511,569,484,575,481,6360,2009
Del Rio,1321,1064,872,1604,1908,2231,1619,1426,1304,1383,1321,1029,17082,2009
El Centro,2619,2176,1691,2969,2904,4141,3314,2955,2811,2449,2767,2725,33521,2009
El Paso,1469,1153,866,1344,1435,1508,1344,1238,1208,1160,1181,1093,14999,2009
Laredo,2709,2465,1932,3970,3718,4538,4168,3722,3283,3512,3671,2881,40569,2009
"Rio Grande Valley
(formerly McAllen)",5092,4259,3341,4575,5207,5479,6107,5293,5094,5509,6025,5008,60989,2009
San Diego,10036,7954,6552,10246,11678,16472,12618,11000,10278,8655,6743,6489,118721,2009
Tucson,18814,12844,9862,18649,20941,31432,28072,24083,20842,20146,20810,15178,241673,2009
Yuma,339,406,359,612,731,951,793,656,655,545,429,475,6951,2009
Coastal Border,842,603,653,687,686,853,750,582,657,671,687,699,8370,2009
Northern Border,658,571,521,467,531,545,528,612,553,588,642,590,6806,2009
Southwest Border,42938,32780,25947,44502,49211,67342,58493,50884,46044,43843,43522,35359,540865,2009
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
Miami,463,478,416,265,335,326,370,427,442,367,427,335,4651,2010
New Orleans,247,179,173,303,303,394,404,218,223,204,244,279,3171,2010
Ramey,41,20,10,8,23,32,40,44,25,4,94,57,398,2010
Blaine,50,69,52,59,57,58,54,44,53,65,70,42,673,2010
Buffalo,241,214,207,168,216,252,207,231,189,135,180,182,2422,2010
Detroit,168,154,157,129,126,122,110,98,128,113,165,199,1669,2010
Grand Forks,55,47,36,26,37,45,39,80,23,34,74,47,543,2010
Havre,31,23,17,11,18,54,30,32,20,12,20,22,290,2010
Houlton,3,2,0,0,0,12,5,10,6,12,6,0,56,2010
Spokane,35,21,14,19,15,27,25,34,33,42,51,40,356,2010
Swanton,71,101,68,58,128,132,97,136,124,233,197,77,1422,2010
"Big Bend
(formerly Marfa)",530,421,373,433,484,660,575,493,415,280,295,329,5288,2010
Del Rio,1119,897,697,1234,1245,1874,1791,1718,1326,767,1095,931,14694,2010
El Centro,2589,2412,2196,2688,2836,4408,3419,3126,2440,2331,2075,2042,32562,2010
El Paso,1007,894,725,1124,1140,1528,1359,1380,1005,725,732,632,12251,2010
